,Kryterium 1,Kryterium 2,Kryterium 3,Kryterium 4,Kryterium 5,Kryterium 6,Kryterium 7,Kryterium 8,Kryterium 9,Kryterium 10
0,0.26271927261484496,0.18541813833774728,1,0.7497699601726001,0.7377667345832906,0.848238162401301,0.5318197323723599,0.4291061821903518,1,0.9000992049889657
1,0.6066205992605566,0,0.46131076208799227,0.6982506702821907,0.6830115174813024,0.6390730244774647,0.48632508057401336,0.4987334637098931,0.25604436380776807,0.12595544786311852
2,0.7173426760947683,0.5126278917460175,0.4690356343640585,0.3264374468158826,0.483909089602879,0.5645214828274884,0.8949718611155624,0.8021905529226547,0.8671122455243108,0.4858356389593001
3,0.3239851277271738,0.5853132077965477,1,0.4384301355937047,0.24205923852470296,0.344483137960101,0.3924823754541299,0.31360316204203686,0.6585831078370659,0.3400840638056132
4,1,0.12828836299799573,0.8732518450616283,0.7237839268710923,0.2223459244290623,0.7298138155533676,0.36567908004171956,1,1,0.9792799959086995
5,1,0.4819574700483668,0.5648418342901192,0.32943410702071524,0.4915058245052512,0.5657174413281119,0.33269097258932,0.6808223685702497,0.6356211592780576,0.5910287379585006
6,0.6488229516941875,0.402896859243426,0.6077762989469212,0.14301484028472294,0.6254436083777166,0.318886644769139,0.6001357808335441,0.37894955030850147,0,0.9459271581494474
7,0.8265049724007496,0.6542280094652373,0.6357629440472911,0.28057034132835246,0.5769051319385609,0.6350837795313866,0.6878132393577558,0.42960065750496723,0.5106402003374736,0.7802243632529919
8,0,0.7453001662403553,0.4476032203045161,0.48394335924090465,0.2069476907679786,0.46982430047856055,0.6462784965421609,0.22264895120688738,0.38934378062012753,0.23822211902309043
9,0,0.8283471244701364,0.25087207064035627,0.38938774080700533,0.9188505057328901,0.35930305013379316,0.9165901163273251,0.5644715222250908,0.12917327313656335,0.5830866463717166
10,0.35923835185534747,0.5752434762310568,0.45233800242396116,0.9264427105457156,0.23408220446906097,0.6409810747603955,0.02429631221319417,0.22457339445819824,0.6018028271996048,0
11,0.27342834047879994,0.5876832624200009,0.37482750191641245,0.529315983828746,0.512836742270254,0.24076350549269065,0.8938579520550043,0.13796332127496502,0.33046525051294723,0.371805852244535
